分类,标题,导演,主演,地区,年份,语言,更新时间,m3u8地址,详情页URL,封面图,简介
女频恋爱,天家少主隐都市,未知,"于斯年,王艺淳",中国大陆,2026,,2026-06-05,https://v9.ppqrrs.com/wjv9/202606/02/TxMazjdT2f87/video/index.m3u8,https://duanju2.com/vod/45102.html,https://pic.youkupic.com/upload/vod/20260603-1/6c9d7d2b39e71e01c95d006b485366d4.jpg,"天家少主隐都市是由于斯年,王艺淳主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,读心赘婿,未知,"晓凡,赵琦",中国大陆,2026,,2026-06-05,https://v2.ppqrrs.com/wjv2/202606/03/ssqWFhWY0j90/video/index.m3u8,https://duanju2.com/vod/45148.html,https://pic.youkupic.com/upload/vod/20260604-1/b30e3ccb15a32fff27aa7f2b85de3a02.jpg,"读心赘婿是由晓凡,赵琦主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,绿茶，分明是宝藏系女孩,未知,"沈杨,韩卓宏",中国大陆,2026,,2026-06-05,https://v3.ppqrrs.com/wjv3/202606/03/hKs2KUNTKn90/video/index.m3u8,https://duanju2.com/vod/45145.html,https://pic.youkupic.com/upload/vod/20260604-1/a9e6ee313849e7799499547ed0b5fc8b.jpg,"绿茶，分明是宝藏系女孩是由沈杨,韩卓宏主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,潜流,未知,"崔栩淙,居来提",中国大陆,2026,,2026-06-05,https://v11.ppqrrs.com/wjv11/202606/03/TbPdGuH5Km87/video/index.m3u8,https://duanju2.com/vod/45142.html,https://pic.youkupic.com/upload/vod/20260604-1/4b701df3e3808f8eae3a8cece7ecadb8.jpg,"潜流是由崔栩淙,居来提主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,巧言真爱,未知,"苏畅,张馨然",中国大陆,2026,,2026-06-04,https://v11.ppqrrs.com/wjv11/202509/16/RDTayypd9z83/video/index.m3u8,https://duanju2.com/vod/28014.html,https://pic.youkupic.com/upload/vod/20250916-1/33fc50cef6d1ec88c0f28c7c6988df3c.jpg,"巧言真爱是由苏畅,张馨然主演的一部女频恋爱主演的一部女频恋爱。"
女频恋爱,四十岁遇到爱,未知,"蔡明娜,周宥廷",中国大陆,2026,,2026-06-04,https://v12.ppqrrs.com/wjv12/202606/01/kZptqyhXPr94/video/index.m3u8,https://duanju2.com/vod/45038.html,https://pic.youkupic.com/upload/vod/20260601-1/3e01ef6664b65fa08807e675697a0336.jpg,"四十岁遇到爱是由蔡明娜,周宥廷主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
脑洞悬疑,糟糕！我的女友变僵尸了！,未知,梁翊程＆李盈慧,中国大陆,2026,,2026-06-04,https://v3.ppqrrs.com/wjv3/202606/02/ttaMXWXMk388/video/index.m3u8,https://duanju2.com/vod/45075.html,https://pic.youkupic.com/upload/vod/20260602-1/189f524a33cf7448e50221568f3612c7.jpg,"糟糕！我的女友变僵尸了！是由梁翊程＆李盈慧主演的一部短剧,脑洞悬疑主演的一部短剧,脑洞悬疑。"
脑洞悬疑,我的猫不好惹,未知,"江来,陈鸿运",中国大陆,2026,,2026-06-02,https://v9.ppqrrs.com/wjv9/202605/28/h4a7uiBxcZ94/video/index.m3u8,https://duanju2.com/vod/44875.html,https://pic.youkupic.com/upload/vod/20260528-1/3148951f8076bc5bd29616b93320794e.jpg,"我的猫不好惹是由江来,陈鸿运主演的一部短剧,脑洞悬疑主演的一部短剧,脑洞悬疑。"
脑洞悬疑,双子座之惊魂,未知,"佟臻,漆雕轶柔",中国大陆,2026,,2026-06-02,https://v10.ppqrrs.com/wjv10/202605/29/FD8zQsV8wD91/video/index.m3u8,https://duanju2.com/vod/44917.html,https://pic.youkupic.com/upload/vod/20260529-1/a9d2a14bc1b85bf40995094488bbbcae.jpg,"双子座之惊魂是由佟臻,漆雕轶柔主演的一部短剧,脑洞悬疑主演的一部短剧,脑洞悬疑。"
脑洞悬疑,亲妈重生第三天,未知,"张蓓蓓,冯光辉",中国大陆,2026,,2026-06-02,https://v12.ppqrrs.com/wjv12/202605/29/pbp6hcxYbM95/video/index.m3u8,https://duanju2.com/vod/44916.html,https://pic.youkupic.com/upload/vod/20260529-1/e5d598fbb7446282d8e24c2ea319fff1.jpg,"亲妈重生第三天是由张蓓蓓,冯光辉主演的一部短剧,脑洞悬疑主演的一部短剧,脑洞悬疑。"
